content,score,label,preprocessed_content
Keren,5,1,keren
Buka aplikasi langsung keluar sendiri,1,0,buka aplikasi langsung keluar sendiri
"Tolong ya itu no tlp 188 pilihan terakhir untuk keluhan pelanggan dari 1-5 ga ada yg bisa dipilih. Sdh 5x telepon begitu trs. ""Mohon maaf anda belum memilih"". Abis dah pulsa. Segera perbaiki",3,0,tolong ya itu no telepon pilih akhir untuk keluh langgan dari enggak ada yang bisa pilih sudah kali telepon begitu terus mohon maaf anda belum pilih habis deh pulsa segera baik
Masih berat akses ke aplikasinya.. ngga sat set muncul informasi/fitur yg tersedia,4,0,masih berat akses ke aplikasi enggak sat set muncul informasi fitur yang sedia
"Pelayanan bgs,cpt...👍🏿👍🏿",5,1,layan bagus cepat 
Selain jaringan yg sering eror apliaksi nya pun lemott,1,0,selain jaring yang sering eror apliaksi nya pun lemot
Kurang nemuaskan. Tanggapan komplain lambat,5,0,kurang nemuaskan tanggap komplain lambat
"Internet stabil, Pertahankan !!!",5,1,internet stabil tahan 
"Aplikasinya tidk memberikan info2 yg dibutuhkan , seperti ganti username wifi hrus konfrimasi ke call center 147 dan utk melihat perangkat yg tersambung jg hrus call ke 147 sangat2 membuang2 pulsa buat apa ad aplikasi My IndiHome utk mempermudah kan? Ini kok malah mempersulit",1,0,aplikasi tidk beri info yang butuh seperti ganti username wifi harus konfrimasi ke cal center dan untuk lihat perangkat yang sambung juga harus cal ke sangat buang pulsa buat apa ada aplikasi my indihome untuk mudah kan ini kok malah sulit
pelayanan bagus,5,1,layan bagus
sangat bagus,5,1,sangat bagus
"Internetnya oke, cuma kalo buka aplikasi dajjal ini lemot bgt",1,0,internetnya oke cuma kalo buka aplikasi dajjal ini lemot banget
Mantap,5,1,mantap
Indihome 👍,5,1,indihome 
"Wow,, keren",5,1,wow keren
1000 bintang,5,1, bintang
"Aplikasi yang bagus, sangat membantu pelanggan.",5,1,aplikasi yang bagus sangat bantu langgan 
Setelah di update bukannya makin baik malah makin BOBROK...! BAHKAN SEKARANG LOGIN AJA GA BISA. Bintang satu aja udah terlalu baik utk app ini hrsnya ga dpt bintang sm sekali. Paling ulasan ini jg dibalas pk jawaban copy paste oleh robot...basi 😅,1,0,telah di update bukan makin baik malah makin bobrok bahkan sekarang login saja enggak bisa bintang satu saja sudah terlalu baik untuk ap ini harus enggak dapat bintang sama sekali paling ulas ini juga balas pakai jawab copy paste oleh robot basi 
Semoga lebih stabil baik harga maupun internet,5,1,moga lebih stabil baik harga maupun internet
