content,score,label
Keren,5,1
Buka aplikasi langsung keluar sendiri,1,0
"Tolong ya itu no tlp 188 pilihan terakhir untuk keluhan pelanggan dari 1-5 ga ada yg bisa dipilih. Sdh 5x telepon begitu trs. ""Mohon maaf anda belum memilih"". Abis dah pulsa. Segera perbaiki",3,0
Masih berat akses ke aplikasinya.. ngga sat set muncul informasi/fitur yg tersedia,4,0
"Pelayanan bgs,cpt...👍🏿👍🏿",5,1
Selain jaringan yg sering eror apliaksi nya pun lemott,1,0
Kurang nemuaskan. Tanggapan komplain lambat,5,0
"Internet stabil, Pertahankan !!!",5,1
"Aplikasinya tidk memberikan info2 yg dibutuhkan , seperti ganti username wifi hrus konfrimasi ke call center 147 dan utk melihat perangkat yg tersambung jg hrus call ke 147 sangat2 membuang2 pulsa buat apa ad aplikasi My IndiHome utk mempermudah kan? Ini kok malah mempersulit",1,0
pelayanan bagus,5,1
sangat bagus,5,1
"Internetnya oke, cuma kalo buka aplikasi dajjal ini lemot bgt",1,0
Mantap,5,1
Indihome 👍,5,1
"Wow,, keren",5,1
1000 bintang,5,1
"Aplikasi yang bagus, sangat membantu pelanggan.",5,1
Setelah di update bukannya makin baik malah makin BOBROK...! BAHKAN SEKARANG LOGIN AJA GA BISA. Bintang satu aja udah terlalu baik utk app ini hrsnya ga dpt bintang sm sekali. Paling ulasan ini jg dibalas pk jawaban copy paste oleh robot...basi 😅,1,0
Semoga lebih stabil baik harga maupun internet,5,1
"Aplikasi nya sangat bagus,, memudahkan baik pelaporan atau perubahan paket kuota",5,1
dancok klo bikin aplikasi yg bener koplak,1,0
Sangat memuaskan dan sangat membantu,5,1
Mantap,5,1
Aplikasinya tolong di sesuaikan lg untuk Android versi terbaru. Karena dari Google ada peringatan bahwa aplikasi ini mungkin berhenti berfungsi di hp saya,3,0
"Jaringan stabil, kecepatan pure sesuai pilihan. Mantabbb👍👍",5,1
"Sudah bayar ,melalalui tokopedia ,tiap tgl 20 ,tapi masih di isolir ,di anggap belum bayar tagihan",5,0
Good,5,1
Tidak masuk ke aplikasi selalu mental...,1,0
"Aplikasi gk berguna. Untuk masuk z gk bisa, g mana mau buat keluhan dll",1,0
"Update aplikasi terus, menghabiskan memori Telpon,",3,0
Mantap,5,1
setelah pembaruan aplikasi kok gak bisa log in ya baik pakai email maupun nomer hp,5,1
"Update terbaru malah pembayaran baik kartu debit/kredit ditolak semua, bagian IT indihome perlu di reformasi agar aplikasi bisa digunakan normal.",1,0
masih lambat & wifi.id Seamless sulit di akses.,1,0
Saya sudah berlangganan Indihome sudah sekitar 4thn. setiap ada kendala Indihome cepat respon dan di tangani oleh teknisi nya,1,1
"Indihome udah terbukti internetnya.juga Teknisi indihome,teknisi super bukan kaleng"" Top dahhh",5,1
